store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,country_uk,itl1_code,itl1_name,lad_code,lad_name,msoa_code,msoa_name,lsoa_code,lsoa_name,coord_source,geo_source,overture_id,confidence
ovt:b021d399-692d-4036-8972-c3c55fff841e,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Clacton,open,"Oakwood Bus, Unit 1A Stephenson Rd W",Clacton-on-Sea,Essex,,East of England,CO15 4TL,GB,51.81917886,1.16288578,Europe/London,Booker,,01255421123,England,E12000006,East of England,E07000076,Tendring,E02004582,Tendring 010,E01021984,Tendring 010A,overture,postcodes.io,b021d399-692d-4036-8972-c3c55fff841e,0.9941
ovt:f4ae364a-0b86-48f1-9b99-742937d0b913,,https://www.booker.co.uk,Booker Colchester,open,193 Gosbecks Road,Colchester,Essex,,East of England,CO2 9JU,GB,51.86700228,0.86975749,Europe/London,Booker,,01206549054,England,E12000006,East of England,E07000071,Colchester,E02004520,Colchester 015,E01021715,Colchester 015E,overture,postcodes.io+reverse,f4ae364a-0b86-48f1-9b99-742937d0b913,0.9969
ovt:ce00f6fe-d2ef-498e-bc26-5c4b7f548514,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Croydon,open,68 Purley Way,Croydon,,,London,CR0 3JX,GB,51.38228751,-0.1216341,Europe/London,Booker,,02086895597,England,E12000007,London,E09000008,Croydon,E02000209,Croydon 016,E01001006,Croydon 016A,overture,postcodes.io+reverse,ce00f6fe-d2ef-498e-bc26-5c4b7f548514,0.9891
ovt:7dd987e3-1b5f-45b9-854c-052a6c0434ec,,https://www.booker.co.uk,Booker Broadstairs,open,"pysons road industrial estate, Unit 20 Patricia Way",Broadstairs,Kent,,South East,CT10 2LE,GB,51.35563181,1.41456224,Europe/London,Booker,,01843867997,England,E12000008,South East,E07000114,Thanet,E02005142,Thanet 011,E01024691,Thanet 011E,overture,postcodes.io,7dd987e3-1b5f-45b9-854c-052a6c0434ec,0.9976
ovt:263ab417-d933-4f21-9215-1fa2cf4f8097,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Folkestone,open,,Folkestone,Kent,,South East,CT19 5EY,GB,51.09207737,1.1733888,Europe/London,Booker,,01303253936,England,E12000008,South East,E07000112,Folkestone and Hythe,E02005104,Folkestone and Hythe 003,E01024518,Folkestone and Hythe 003E,overture,postcodes.io,263ab417-d933-4f21-9215-1fa2cf4f8097,0.9937
ovt:e3f6dadd-c57e-479c-b73a-116bd08dbcb6,,http://www.booker.co.uk,Booker Canterbury,open,Broad Oak Rd,Canterbury,Kent,,South East,CT2 7PX,GB,51.29053133,1.0898036,Europe/London,Booker,,01227766101,England,E12000008,South East,E07000106,Canterbury,E02005022,Canterbury 013,E01024101,Canterbury 013C,overture,postcodes.io,e3f6dadd-c57e-479c-b73a-116bd08dbcb6,0.9974
ovt:2c757bfc-a226-4c08-bea2-faae758337c4,,http://www.booker.co.uk,Booker Coventry,open,"Hood Street Industrial Estate, Hood St",Coventry,,,West Midlands,CV1 5PX,GB,52.40881771,-1.49806612,Europe/London,Booker,,02476258672,England,E12000005,West Midlands,E08000026,Coventry,E02001981,Coventry 024,E01009641,Coventry 024F,overture,postcodes.io,2c757bfc-a226-4c08-bea2-faae758337c4,0.9857
ovt:5177b80a-e0b7-44b5-9a6d-67b290eb2a0a,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Rugby,open,4 Somers Road,Rugby,Warwickshire,,West Midlands,CV22 7DE,GB,52.37349463,-1.28281907,Europe/London,Booker,,01788576210,England,E12000005,West Midlands,E07000220,Rugby,E02006497,Rugby 006,E01031168,Rugby 006B,overture,postcodes.io,5177b80a-e0b7-44b5-9a6d-67b290eb2a0a,0.9862
ovt:d57553b0-e3b0-40f4-b74d-5a8b1f015ec7,,http://www.booker.co.uk,Booker Warwick,open,Nelson Lane,Warwick,Warwickshire,,West Midlands,CV34 5JB,GB,52.28933695,-1.5736201,Europe/London,Booker,,01926495111,England,E12000005,West Midlands,E07000222,Warwick,E02006530,Warwick 012,E01031319,Warwick 012E,overture,postcodes.io,d57553b0-e3b0-40f4-b74d-5a8b1f015ec7,0.9994
ovt:1c5a79dc-24f1-415f-befb-8477e340b97b,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Northwich,open,Manchester Rd,Northwich,,,North West,CW9 7NA,GB,53.2654166,-2.48524011,Europe/London,Booker,,0160643221,England,E12000002,North West,E06000050,Cheshire West and Chester,E02003879,Cheshire West and Chester 018,E01018715,Cheshire West and Chester 018C,overture,postcodes.io,1c5a79dc-24f1-415f-befb-8477e340b97b,0.9938
ovt:398477ac-d564-4243-b89e-2e96d6593aab,,https://www.booker.co.uk,Booker Crayford,open,Kennet Rd,Dartford,,,London,DA1 4QN,GB,51.46027745,0.19158666,Europe/London,Booker,,01322553434,England,E12000007,London,E09000004,Bexley,E02000083,Bexley 019,E01000374,Bexley 019A,overture,postcodes.io,398477ac-d564-4243-b89e-2e96d6593aab,0.9918
ovt:a8a7ab2f-d73b-4ac5-be37-677275cd844e,,http://www.booker.co.uk,Booker Dundee,open,"Dunsinane Industrial Estate, Dunsinane Ave",Dundee,,,Scotland,DD2 3QF,GB,56.48085455,-3.00493819,Europe/London,Booker,,01382815518,Scotland,S92000003,Scotland,S12000042,Dundee City,S02002872,Fairmuir,S01015504,Fairmuir - 04,overture,postcodes.io,a8a7ab2f-d73b-4ac5-be37-677275cd844e,0.9329
ovt:3fc16500-4c9f-41af-81c0-5f8bfc11c823,,http://www.booker.co.uk,Booker Derby,open,Alfreton Road,Derby,,,East Midlands,DE21 4AP,GB,52.94897523,-1.46099649,Europe/London,Booker,,01332833833,England,E12000004,East Midlands,E06000015,Derby,E02002799,Derby 004,E01013530,Derby 004A,overture,postcodes.io,3fc16500-4c9f-41af-81c0-5f8bfc11c823,0.9946
ovt:4a7cff2c-a531-4154-b831-ff0146cccec8,,http://www.booker.co.uk,Booker Darlington,open,Banks Rd,Darlington,,,North East,DL1 1YB,GB,54.52807563,-1.52483686,Europe/London,Booker,,01325468438,England,E12000001,North East,E06000005,Darlington,E02002567,Darlington 009,E01012342,Darlington 009C,overture,postcodes.io,4a7cff2c-a531-4154-b831-ff0146cccec8,0.9780
ovt:b9bc3460-36e3-4b5d-a505-846ccbf72674,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Weymouth,open,10 Cumberland Drive,Weymouth,,,South West,DT4 9TB,GB,50.61192595,-2.48647958,Europe/London,Booker,,01305774505,England,E12000009,South West,E06000059,Dorset,E02004280,Dorset 037,E01020516,Dorset 037E,overture,postcodes.io,b9bc3460-36e3-4b5d-a505-846ccbf72674,0.9978
ovt:961e65f6-6241-47b6-979d-3c9ca18188c0,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Beckton,open,"London Industrial Park, Hillcroft Rd",London,,,London,E6 6LW,GB,51.51862371,0.06808508,Europe/London,Booker,,02075113931,England,E12000007,London,E09000025,Newham,E02000746,Newham 033,E01034205,Newham 033E,overture,postcodes.io,961e65f6-6241-47b6-979d-3c9ca18188c0,0.9913
ovt:5c1737db-f7d8-4019-811f-fec368a3a9d1,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker A1 Edinburgh,open,55 Eastfield,Edinburgh,,,Scotland,EH15 2PJ,GB,55.9466115,-3.07918844,Europe/London,Booker,,01316695656,Scotland,S92000003,Scotland,S12000036,City of Edinburgh,S02002737,Joppa,S01014767,Joppa - 01,overture,postcodes.io,5c1737db-f7d8-4019-811f-fec368a3a9d1,0.9980
ovt:03feda72-3622-45b7-af32-1fc7dac105a2,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Enfield,open,57 Stockingswater Ln,Enfield,,,London,EN3 7XA,GB,51.654542,-0.02429547,Europe/London,Makro,,02084436221,England,E12000007,London,E09000010,Enfield,E02000290,Enfield 014,E01001437,Enfield 014A,overture,postcodes.io,03feda72-3622-45b7-af32-1fc7dac105a2,0.9983
ovt:5efea1d3-5a60-462a-82e8-0b92c35a77b7,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Exeter,open,Yeoford Way,Exeter,Devon,,South West,EX2 8LB,GB,50.6961849,-3.51269419,Europe/London,Makro,,01392823443,England,E12000009,South West,E07000041,Exeter,E02004162,Exeter 014,E01019970,Exeter 014C,overture,postcodes.io,5efea1d3-5a60-462a-82e8-0b92c35a77b7,0.9973
ovt:85353abb-1f5d-4317-adde-2af9008df003,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Barnstaple,open,"Pottington Trading Estate, Upcott Ave",Barnstaple,Devon,,South West,EX31 1HN,GB,51.08681122,-4.0806032,Europe/London,Booker,,01271342673,England,E12000009,South West,E07000043,North Devon,E02004181,North Devon 007,E01020132,North Devon 007A,overture,postcodes.io,85353abb-1f5d-4317-adde-2af9008df003,0.9834
ovt:fa24a5d1-4d76-40ee-852a-58896e6569b0,,https://www.booker.co.uk,Booker Falkirk,open,"Middlefield Industrial Estate, Middlefield Rd.",Falkirk,,,Scotland,FK2 9HQ,GB,56.00929557,-3.76697211,Europe/London,Booker,,01324629525,Scotland,S92000003,Scotland,S12000014,Falkirk,S02003003,Falkirk - Bainsford and Langlees,S01016226,Falkirk - Bainsford and Langlees - 02,overture,postcodes.io,fa24a5d1-4d76-40ee-852a-58896e6569b0,0.9994
ovt:60017810-bb81-434e-bde6-a7e6ae7ed85c,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Stirling,open,Whitehouse Rd,Stirling,,,Scotland,FK7 7SP,GB,56.11270697,-3.91763715,Europe/London,Booker,,01786451109,Scotland,S92000003,Scotland,S12000030,Stirling,S02003779,Braehead,S01020437,Braehead - 03,overture,postcodes.io,60017810-bb81-434e-bde6-a7e6ae7ed85c,0.9983
ovt:71abc70c-3139-4f8d-add6-f4b084313537,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Blackpool,open,Brunel Way,Blackpool,,,North West,FY4 5ES,GB,53.79347318,-2.99973298,Europe/London,Booker,,01253791989,England,E12000002,North West,E06000009,Blackpool,E02002650,Blackpool 018,E01012732,Blackpool 018E,overture,postcodes.io,71abc70c-3139-4f8d-add6-f4b084313537,0.9787
ovt:4ced930e-4c63-4c1c-ae11-545ea383b01d,,http://www.booker.co.uk,Booker Glasgow,open,154 Craighall Rd,Glasgow,,,Scotland,G4 9TD,GB,55.87676113,-4.25324921,Europe/London,Booker,,01413530350,Scotland,S92000003,Scotland,S12000049,Glasgow City,S02003224,Cowlairs and Port Dundas,S01017370,Cowlairs and Port Dundas - 01,overture,postcodes.io,4ced930e-4c63-4c1c-ae11-545ea383b01d,0.9995
ovt:d41ff184-d895-4faf-aa2b-b10ac861a8aa,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Gloucester,open,Barnett Way,Gloucester,Gloucestershire,,South West,GL4 3RT,GB,51.86479333,-2.20436512,Europe/London,Booker,,01452614222,England,E12000009,South West,E07000081,Gloucester,E02004642,Gloucester 007,E01022287,Gloucester 007G,overture,postcodes.io,d41ff184-d895-4faf-aa2b-b10ac861a8aa,0.9987
ovt:507f88d2-9c87-46cc-82cb-9516e6fda469,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Cheltenham,open,"Unit 6, Kingsditch Retail park",Cheltenham,Gloucestershire,,South West,GL51 9PX,GB,51.91683211,-2.09497926,Europe/London,Booker,,01242516166,England,E12000009,South West,E07000078,Cheltenham,E02004600,Cheltenham 001,E01022165,Cheltenham 001C,overture,postcodes.io,507f88d2-9c87-46cc-82cb-9516e6fda469,0.9888
ovt:fbfff151-01a3-4ff6-a01a-10e9c2fd3b21,,https://www.booker.co.uk,Booker Huddersfield,open,"Red Doles Ln, Leeds Rd",Huddersfield,,,Yorkshire and The Humber,HD2 1YF,GB,53.65889999,-1.7689252,Europe/London,Booker,,01484535225,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,E02002299,Kirklees 029,E01011107,Kirklees 029D,overture,postcodes.io,fbfff151-01a3-4ff6-a01a-10e9c2fd3b21,0.9819
ovt:77c9c8d8-9fe2-4a78-a258-902d055a78a0,,https://www.booker.co.uk/branch-locator/huddersfield/red-doles-lane,Booker Huddersfield,open,"Red Doles Lane, Leeds Road",Huddersfield,,,Yorkshire and The Humber,HD2 1YF,GB,53.6589979,-1.7683606,Europe/London,Booker,,,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,E02002299,Kirklees 029,E01011107,Kirklees 029D,overture,postcodes.io,77c9c8d8-9fe2-4a78-a258-902d055a78a0,0.4000
ovt:17891461-73bf-4fb0-99ea-573e61e62278,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Harrogate,open,Ripon Way,Harrogate,,,Yorkshire and The Humber,HG1 2BX,GB,54.00445472,-1.55101206,Europe/London,Booker,,01423564083,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,E02005770,Harrogate 010,E01027690,Harrogate 010D,overture,postcodes.io,17891461-73bf-4fb0-99ea-573e61e62278,0.9820
ovt:9ff28868-def3-4d06-9595-18530565092e,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker High Wycombe,open,"Cressex Business Park, Stirling Rd",High Wycombe,,,South East,HP12 3ST,GB,51.62130563,-0.78076123,Europe/London,Booker,,01494443573,England,E12000008,South East,E06000060,Buckinghamshire,E02003710,Buckinghamshire 049,E01017836,Buckinghamshire 049A,overture,postcodes.io,9ff28868-def3-4d06-9595-18530565092e,0.9861
ovt:0fede292-3e67-4f6b-a77a-7cb965e26ee5,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Hereford,open,"Centurion Way, Roman Rd",Hereford,,,West Midlands,HR1 1HU,GB,52.07370147,-2.7069352,Europe/London,Booker,,01432352979,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",E02002914,Herefordshire 010,E01014084,Herefordshire 010B,overture,postcodes.io,0fede292-3e67-4f6b-a77a-7cb965e26ee5,0.9949
ovt:0185c537-8977-4ea2-b1df-fec2c98b2d72,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Hull,open,"The Junction, Clive Sullivan Way",Hull,,,Yorkshire and The Humber,HU3 4SA,GB,53.72551124,-0.38366528,Europe/London,Booker,,01482943158,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002681,Kingston upon Hull 030,E01012889,Kingston upon Hull 030B,overture,postcodes.io,0185c537-8977-4ea2-b1df-fec2c98b2d72,0.9991
ovt:ef4bbf83-77d7-4af1-94df-3e77d8cd5940,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Hull,open,"The Junction, Clive Sullivan Way",Hull,,,Yorkshire and The Humber,HU3 4SA,GB,53.72528831,-0.38367218,Europe/London,Makro,,01482943159,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",E02002681,Kingston upon Hull 030,E01012889,Kingston upon Hull 030B,overture,postcodes.io,ef4bbf83-77d7-4af1-94df-3e77d8cd5940,0.9983
ovt:b242a031-38f8-4711-adb1-faa2f910a137,,http://www.booker.co.uk,Booker Ipswich,open,5 Crompton Road,Ipswich,Suffolk,,East of England,IP2 0UQ,GB,52.06289745,1.1288468,Europe/London,Booker,,01473259059,England,E12000006,East of England,E07000202,Ipswich,E02006254,Ipswich 010,E01029985,Ipswich 010B,overture,postcodes.io,b242a031-38f8-4711-adb1-faa2f910a137,0.9781
ovt:c519cd8d-ffcd-4fe0-b6b8-4388bf79e4e4,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Ipswich,open,17 The Havens,Ipswich,Suffolk,,East of England,IP3 9SJ,GB,52.0288699,1.21917453,Europe/London,Makro,,01473321171,England,E12000006,East of England,E07000202,Ipswich,E02006258,Ipswich 014,E01033127,Ipswich 014E,overture,postcodes.io,c519cd8d-ffcd-4fe0-b6b8-4388bf79e4e4,0.9980
ovt:a5281eee-031d-4211-b333-34d8ea602d24,,https://www.booker.co.uk,Booker Inverness,open,19 Longman Drive,Inverness,,,Scotland,IV1 1SU,GB,57.4923232,-4.21884707,Europe/London,Booker,,01463235291,Scotland,S92000003,Scotland,S12000017,Highland,S02003299,"Inverness Central, Raigmore and Longman",S01017788,"Inverness Central, Raigmore and Longman - 01",overture,postcodes.io,a5281eee-031d-4211-b333-34d8ea602d24,0.9910
ovt:c4c69bdd-8d6f-4462-92d3-bad9ac0f0a14,,http://www.booker.co.uk,Booker Elgin,open,2 Chanonry Road South,Elgin,,,Scotland,IV30 6NG,GB,57.64823682,-3.29038558,Europe/London,Booker,,01343543260,Scotland,S92000003,Scotland,S12000020,Moray,S02003391,"Elgin Central East, Kingsmills, Ashgrove and Pinefield",S01018306,"Elgin Central East, Kingsmills, Ashgrove and Pinefield - 03",overture,postcodes.io,c4c69bdd-8d6f-4462-92d3-bad9ac0f0a14,0.9953
ovt:97756118-9063-41cd-a77b-fdeac2a98e31,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Irvine,open,2 Meadowhead Industrial Estate,Irvine,,,Scotland,KA11 5AU,GB,55.58739345,-4.64653652,Europe/London,Booker,,01294311043,Scotland,S92000003,Scotland,S12000021,North Ayrshire,S02003413,Springside and Rural,S01018426,Springside and Rural - 01,overture,postcodes.io+reverse,97756118-9063-41cd-a77b-fdeac2a98e31,0.9995
ovt:b7232db7-72fa-4b99-acbd-9ce3e3778e97,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Ayr,open,Boundary Rd,Ayr,,,Scotland,KA8 9DJ,GB,55.48195903,-4.60156696,Europe/London,Booker,,01292281721,Scotland,S92000003,Scotland,S12000028,South Ayrshire,S02003675,Heathfield,S01019848,Heathfield - 05,overture,postcodes.io,b7232db7-72fa-4b99-acbd-9ce3e3778e97,0.9808
ovt:598f26f1-3ae3-4af0-8571-ac6553112067,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Byfleet,open,117 Oyster Lane,West Byfleet,Surrey,,South East,KT14 7JW,GB,51.3476676,-0.48145639,Europe/London,Booker,,01932345515,England,E12000008,South East,E07000217,Woking,E02006456,Woking 001,E01030949,Woking 001D,overture,postcodes.io,598f26f1-3ae3-4af0-8571-ac6553112067,0.9850
ovt:d2491b83-b896-4821-8d05-729cf98c4829,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Kirkcaldy,open,"Randolph Industrial Estate, Randolph Rd",Kirkcaldy,,,Scotland,KY1 2YX,GB,56.13818744,-3.12667176,Europe/London,Booker,,01592651968,Scotland,S92000003,Scotland,S12000047,Fife,S02003091,Dysart,S01016654,Sinclairtown East,overture,postcodes.io,d2491b83-b896-4821-8d05-729cf98c4829,0.9983
ovt:08204612-483e-4be5-8c4e-c4d384738241,,https://www.booker.co.uk,Booker Liverpool,open,"Pighue Ln, Binns Rd",Liverpool,,,North West,L13 1DH,GB,53.40707819,-2.9231573,Europe/London,Booker,,01512595132,England,E12000002,North West,E08000012,Liverpool,E02001374,Liverpool 028,E01006692,Liverpool 028B,overture,postcodes.io,08204612-483e-4be5-8c4e-c4d384738241,0.9996
ovt:1a2fe0cd-64d6-4a8e-9569-a60437a83633,,http://www.makro.co.uk,Makro Liverpool,open,"Britonwood Trading Estate, Hornhouse Ln",Liverpool,,,North West,L33 7YQ,GB,53.46859112,-2.85717569,Europe/London,Makro,,01515453221,England,E12000002,North West,E08000011,Knowsley,E02001331,Knowsley 005,E01006416,Knowsley 005A,overture,postcodes.io,1a2fe0cd-64d6-4a8e-9569-a60437a83633,0.9915
ovt:285fd8fd-e9ae-4211-9c9e-7ba2604153df,,https://www.booker.co.uk/branch-locator/liverpool/hornhouse-lane,Makro Liverpool,open,"Hornhouse Lane, Britonwood Trading Estate",Liverpool,,,North West,L33 7YQ,GB,53.4701152,-2.8551778,Europe/London,Makro,,,England,E12000002,North West,E08000011,Knowsley,E02001331,Knowsley 005,E01006416,Knowsley 005A,overture,postcodes.io,285fd8fd-e9ae-4211-9c9e-7ba2604153df,0.4000
ovt:ed561afc-a7c1-461a-82a2-ecfe696b61a5,,http://www.booker.co.uk,Booker Barrow,open,"Woods Industrial Estate, Bouthwood Road Sowerby",Barrow-in-Furness,,,North West,LA14 4RB,GB,54.15127602,-3.22553971,Europe/London,Booker,,01229825443,England,E12000002,North West,E06000064,Westmorland and Furness,E02003980,Barrow-in-Furness 004,E01019164,Barrow-in-Furness 004C,overture,postcodes.io,ed561afc-a7c1-461a-82a2-ecfe696b61a5,0.9947
ovt:23acf796-31ad-46cc-b83e-f51aa1a40062,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Leicester,open,"Centurion Way, Meridian Business Park",Leicester,Leicestershire,,East Midlands,LE19 1WG,GB,52.60753164,-1.19296575,Europe/London,Makro,,01162634221,England,E12000004,East Midlands,E07000129,Blaby,E02005336,Blaby 004,E01025669,Blaby 004D,overture,postcodes.io,23acf796-31ad-46cc-b83e-f51aa1a40062,0.9953
ovt:8ce5a5cc-f41d-4dfe-a953-a0b391411fc8,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Leicester,open,"Braunstone Firth Industrial Estate, Murrayfield Rd",Leicester,,,East Midlands,LE3 1UW,GB,52.63235007,-1.20073106,Europe/London,Booker,,01162871300,England,E12000004,East Midlands,E06000016,Leicester,E02002846,Leicester 020,E01013729,Leicester 020A,overture,postcodes.io,8ce5a5cc-f41d-4dfe-a953-a0b391411fc8,0.9733
ovt:dc64fad5-be16-485c-bf7b-8373c8ad1f60,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Wrexham,open,Ruabon Rd,Wrexham,,,Wales,LL13 7RF,GB,53.03790637,-3.00926867,Europe/London,Booker,,01978291665,Wales,W92000004,Wales,W06000006,Wrexham,W02000088,Wrexham 011,W01000402,Wrexham 011D,overture,postcodes.io,dc64fad5-be16-485c-bf7b-8373c8ad1f60,0.8826
ovt:b0cb4d57-0b6a-4af7-88c2-0104fad6dc1d,,http://www.booker.co.uk,Booker Llandudno,open,"Tre Marl Industrial Estate, Ffordd Maelgwyn",Llandudno Junction,,,Wales,LL31 9PL,GB,53.2806354,-3.79689229,Europe/London,Booker,,01492584165,Wales,W92000004,Wales,W06000003,Conwy,W02000037,Conwy 011,W01000177,Conwy 011E,overture,postcodes.io,b0cb4d57-0b6a-4af7-88c2-0104fad6dc1d,0.8012
ovt:b3c624da-f713-48ee-9929-b3d20a497214,,https://www.booker.co.uk/branch-locator/llandudno-junction/tremarl-industrial-estate,Booker Llandudno,open,"Tremarl Industrial Estate, Ffordd Maelgwyn",Llandudno Junction,,,Wales,LL31 9PL,GB,53.280737996321584,-3.795570829447752,Europe/London,Booker,,,Wales,W92000004,Wales,W06000003,Conwy,W02000037,Conwy 011,W01000177,Conwy 011E,overture,postcodes.io,b3c624da-f713-48ee-9929-b3d20a497214,0.4000
ovt:b77a3086-e9dd-41a9-b860-bfcbce05060b,,http://www.booker.co.uk,Booker Lincoln,open,157 Sadler Road,Lincoln,Lincolnshire,,East Midlands,LN6 3RS,GB,53.20456302,-0.61087534,Europe/London,Booker,,01522686620,England,E12000004,East Midlands,E07000138,Lincoln,E02005450,Lincoln 009,E01026163,Lincoln 009F,overture,postcodes.io,b77a3086-e9dd-41a9-b860-bfcbce05060b,0.9951
ovt:73fd4ee2-9cc8-407d-a3c3-f05a2f1599fb,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Leeds,open,Royds Ln,Leeds,,,Yorkshire and The Humber,LS12 6HU,GB,53.77868096,-1.59258309,Europe/London,Booker,,01133874221,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,E02002412,Leeds 083,E01011734,Leeds 083A,overture,postcodes.io,73fd4ee2-9cc8-407d-a3c3-f05a2f1599fb,0.9922
ovt:dc8e8944-ae52-4f82-b2c1-8fb13a9b7e29,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Luton,open,"Sundon Park Mot Centre, 35 Camford Way",Luton,,,East of England,LU3 3AN,GB,51.9229521,-0.47558572,Europe/London,Booker,,01582490537,England,E12000006,East of England,E06000032,Luton,E02003259,Luton 002,E01015804,Luton 002C,overture,postcodes.io,dc8e8944-ae52-4f82-b2c1-8fb13a9b7e29,0.8325
ovt:f866195c-84de-4a31-950e-ae600cb06d6e,,https://www.booker.co.uk/branch-locator/luton/camford-way,Booker Luton,open,"Camford Way, Sundon Park Road",Luton,,,East of England,LU3 3AN,GB,51.9229507,-0.4758235,Europe/London,Booker,,,England,E12000006,East of England,E06000032,Luton,E02003259,Luton 002,E01015804,Luton 002C,overture,postcodes.io,f866195c-84de-4a31-950e-ae600cb06d6e,0.4000
ovt:abc370a1-62bf-4de2-8e9b-81731ff4d2dc,,https://www.booker.co.uk/branch-locator/manchester/lawton-street,Booker Gorton (Manchester),open,"Lawton Street, Cornwall Street",Manchester,,,North West,M11 2NR,GB,53.47292876082484,-2.1732349526918493,Europe/London,Booker,,,England,E12000002,North West,E08000003,Manchester,E02001061,Manchester 017,E01034113,Manchester 017I,overture,postcodes.io,abc370a1-62bf-4de2-8e9b-81731ff4d2dc,0.4000
ovt:9b66edde-ae01-4864-b1fd-cdc79cd4cb83,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,BookerGorton(Manchester),open,"Lawton Street, Cornwall Street",Manchester,,,North West,M11 2NR,GB,53.469672,-2.173269,Europe/London,Booker,,01612237733,England,E12000002,North West,E08000003,Manchester,E02001061,Manchester 017,E01034113,Manchester 017I,overture,postcodes.io,9b66edde-ae01-4864-b1fd-cdc79cd4cb83,0.9961
ovt:1fedab07-0138-4629-a4d0-35b0d0fbe502,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Middleton,open,"Stakehill Industrial Estate, Touchet Hall Rd",Oldham,,,North West,M24 2SJ,GB,53.5652285,-2.16374742,Europe/London,Booker,,01616532363,England,E12000002,North West,E08000005,Rochdale,E02001152,Rochdale 021,E01005543,Rochdale 021F,overture,postcodes.io,1fedab07-0138-4629-a4d0-35b0d0fbe502,0.9997
ovt:c5ddda1c-7856-4e51-adce-9eaa2ad054a1,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Manchester,open,Liverpool Rd,Manchester,,,North West,M30 7RT,GB,53.4631704,-2.39468538,Europe/London,Makro,,01617852217,England,E12000002,North West,E08000006,Salford,E02001185,Salford 029,E01005640,Salford 029B,overture,postcodes.io,c5ddda1c-7856-4e51-adce-9eaa2ad054a1,0.9988
