store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
fc91,,https://www.aldi.us/stores/l/va/norfolk/1600-e-little-creek-rd/fc91,ALDI 1600 E. Little Creek Rd.,open,1600 E. Little Creek Rd.,Norfolk,,Virginia,VA,23518,US,36.9173,-76.231,America/New_York,,,,51,51710,51710006601,517100066011019,47260,545,ceo,census
fe12,,https://www.aldi.us/stores/l/ms/ocean-springs/3801-bienville-blvd/fe12,ALDI 3801 Bienville Blvd,open,3801 Bienville Blvd,Ocean Springs,,Mississippi,MS,39564,US,30.4099,-88.7642,America/Chicago,,,,28,28059,28059040702,280590407023029,25060,,ceo,census
l307,,https://www.aldi.us/stores/l/tn/athens/1518-decatur-pike/l307,ALDI 1518 Decatur Pike,open,1518 Decatur Pike,Athens,,Tennessee,TN,37303,US,35.4474,-84.6255,America/New_York,,,,47,47107,47107970202,471079702023026,11940,174,ceo,census
f705,,https://www.aldi.us/stores/l/oh/solon/6217-som-center-road/f705,ALDI 6217 SOM Center Road,open,6217 SOM Center Road,Solon,,Ohio,OH,44139,US,41.3903,-81.4373,America/New_York,,,,39,39035,39035184108,390351841081003,17410,184,ceo,census
f623,,https://www.aldi.us/stores/l/il/chicago/8500-s-holland-road/f623,ALDI 8500 S. Holland Road,open,8500 S. Holland Road,Chicago,,Illinois,IL,60620,US,41.7354,-87.632,America/Chicago,,,,17,17031,17031842400,170318424001025,16980,176,ceo,census
l958,,https://www.aldi.us/stores/l/ga/pooler/152-traders-way/l958,ALDI 152 Traders Way,open,152 Traders Way,Pooler,,Georgia,GA,31322,US,32.1401,-81.2532,America/New_York,,,,13,13051,13051010704,130510107042016,42340,496,ceo,census
f624,,https://www.aldi.us/stores/l/il/chicago/620-w-63rd-st/f624,ALDI 620 W. 63rd St.,open,620 W. 63rd St.,Chicago,,Illinois,IL,60621,US,41.7798,-87.6407,America/Chicago,,,,17,17031,17031680900,170316809004002,16980,176,ceo,census
l763,,https://www.aldi.us/stores/l/fl/lutz/2500-skybrooke-blvd/l763,ALDI 2500 Skybrooke Blvd,open,2500 Skybrooke Blvd,Lutz,,Florida,FL,33558,US,28.1938,-82.5216,America/New_York,,,,12,12101,12101031605,121010316051002,45300,,ceo,fcc
fe15,,https://www.aldi.us/stores/l/fl/lynn-haven/2260-s-hwy-77/fe15,ALDI 2260 S Hwy 77,open,2260 S Hwy 77,Lynn Haven,,Florida,FL,32444,US,30.2246,-85.651,America/Chicago,,,,12,12005,12005001404,120050014044004,37460,,ceo,fcc
l004,,https://www.aldi.us/stores/l/mi/lake-orion/475-brown-ave/l004,ALDI 475 Brown Ave,open,475 Brown Ave,Lake Orion,,Michigan,MI,48359,US,42.7075,-83.2961,America/Detroit,,,,26,26125,26125128800,261251288002008,19820,220,ceo,census
l141,,https://www.aldi.us/stores/l/ia/bettendorf/3221-devils-glen-road/l141,ALDI 3221 Devils Glen Road,open,3221 Devils Glen Road,Bettendorf,,Iowa,IA,52722,US,41.556,-90.483,America/Chicago,,,,19,19163,19163013706,191630137063031,19340,209,ceo,census
fb35,,https://www.aldi.us/stores/l/ca/yucca-valley/57691-twentynine-palms-hwy/fb35,ALDI 57691 Twentynine Palms Hwy,open,57691 Twentynine Palms Hwy,Yucca Valley,,California,CA,92284,US,34.1255,-116.4056,America/Los_Angeles,,,,06,06071,06071010429,060710104293012,40140,348,ceo,census
l438,,https://www.aldi.us/stores/l/mn/chanhassen/551-w-78th-st/l438,ALDI 551 W. 78th St,open,551 W. 78th St,Chanhassen,,Minnesota,MN,55317,US,44.8613,-93.5351,America/Chicago,,,,27,27019,27019090601,270190906011027,33460,378,ceo,census
f925,,https://www.aldi.us/stores/l/nc/cary/1315-kildaire-farm-rd/f925,ALDI 1315 Kildaire Farm Rd,open,1315 Kildaire Farm Rd,Cary,,North Carolina,NC,27511,US,35.7606,-78.7819,America/New_York,,,,37,37183,37183053506,371830535063012,39580,450,ceo,census
f406,,https://www.aldi.us/stores/l/nj/vineland/3880-s-delsea-dr/f406,ALDI 3880 S. Delsea Dr,open,3880 S. Delsea Dr,Vineland,,New Jersey,NJ,08360,US,39.4337,-75.0408,America/New_York,,,,34,34011,34011041002,340110410021035,47220,428,ceo,census
f625,,https://www.aldi.us/stores/l/il/chicago/6025-s-western-ave/f625,ALDI 6025 S. Western Ave.,open,6025 S. Western Ave.,Chicago,,Illinois,IL,60636,US,41.7839,-87.6833,America/Chicago,,,,17,17031,17031835000,170318350001001,16980,176,ceo,census
f349,,https://www.aldi.us/stores/l/mo/springfield/2847-e-sunshine-street/f349,ALDI 2847 E. Sunshine Street,open,2847 E. Sunshine Street,Springfield,,Missouri,MO,65804,US,37.1817,-93.2381,America/Chicago,,,,29,29077,29077002402,290770024023015,44180,,ceo,census
fe19,,https://www.aldi.us/stores/l/ms/meridian/131-s-frontage-road/fe19,ALDI 131 S. Frontage Road,open,131 S. Frontage Road,Meridian,,Mississippi,MS,39301,US,32.3642,-88.6713,America/Chicago,,,,28,28075,28075010601,280750106011025,32940,,ceo,census
fe13,,https://www.aldi.us/stores/l/fl/pace/4770-us-90-w/fe13,ALDI 4770 US-90 W,open,4770 US-90 W,Pace,,Florida,FL,32571,US,30.6048,-87.1244,America/Chicago,,,,12,12113,12113010704,121130107043000,37860,,ceo,fcc
f626,,https://www.aldi.us/stores/l/il/chicago/2333-e-95th-st/f626,ALDI 2333 E. 95th St.,open,2333 E. 95th St.,Chicago,,Illinois,IL,60617,US,41.7225,-87.567,America/Chicago,,,,17,17031,17031510300,170315103001002,16980,176,ceo,census
f165,,https://www.aldi.us/stores/l/mo/twin-oaks/1144-meramec-station-rd/f165,ALDI 1144 Meramec Station Rd,open,1144 Meramec Station Rd,Twin Oaks,,Missouri,MO,63021,US,38.5685,-90.4953,America/Chicago,,,,29,29189,29189218013,291892180132016,41180,476,ceo,census
fo16,,https://www.aldi.us/stores/l/fl/edgewater/1825-s-ridgewood-avenue/fo16,ALDI 1825 S. Ridgewood Avenue,open,1825 S. Ridgewood Avenue,Edgewater,,Florida,FL,32141,US,28.9719,-80.8948,America/New_York,,,,12,12127,12127083005,121270830052002,19660,422,ceo,census
f628,,https://www.aldi.us/stores/l/il/evergreen-park/2541-w-95th-street/f628,ALDI 2541 W. 95th Street,open,2541 W. 95th Street,Evergreen Park,,Illinois,IL,60805,US,41.7207,-87.6861,America/Chicago,,,,17,17031,17031821900,170318219001003,16980,176,ceo,census
f985,,https://www.aldi.us/stores/l/mi/three-rivers/1220-w-broadway-st/f985,ALDI 1220 W. Broadway St.,open,1220 W. Broadway St.,Three Rivers,,Michigan,MI,49093,US,41.932,-85.6497,America/Detroit,,,,26,26149,26149040300,261490403002034,44780,310,ceo,census
fa21,,https://www.aldi.us/stores/l/fl/boca-raton/4901-n-federal-highway/fa21,ALDI 4901 N Federal Highway,open,4901 N Federal Highway,Boca Raton,,Florida,FL,33431,US,26.3934,-80.0782,America/New_York,,,,12,12099,12099007302,120990073024002,33100,370,ceo,census
f144,,https://www.aldi.us/stores/l/mo/crestwood/311-watson-plz/f144,ALDI 311 Watson Plz,open,311 Watson Plz,Crestwood,,Missouri,MO,63126,US,38.5587,-90.3894,America/Chicago,,,,29,29189,29189221000,291892210004001,41180,476,ceo,census
f987,,https://www.aldi.us/stores/l/mi/benton-harbor/1700-pipestone-road/f987,ALDI 1700 Pipestone Road,open,1700 Pipestone Road,Benton Harbor,,Michigan,MI,49022,US,42.0872,-86.4208,America/Detroit,,,,26,26021,26021002100,260210021003025,35660,515,ceo,census
f990,,https://www.aldi.us/stores/l/mi/muskegon/2715-henry-street/f990,ALDI 2715 Henry Street,open,2715 Henry Street,Muskegon,,Michigan,MI,49441,US,43.2028,-86.2648,America/Detroit,,,,26,26121,26121002200,261210022001000,34740,266,ceo,census
f988,,https://www.aldi.us/stores/l/mi/south-haven/04353-73rd-street/f988,ALDI 04353 73rd Street,open,04353 73rd Street,South Haven,,Michigan,MI,49090,US,42.4019,-86.2498,America/Detroit,,,,26,26159,26159010500,261590105003045,,,ceo,census
f840,,https://www.aldi.us/stores/l/ny/ithaca/2309-north-triphammer-rd/f840,ALDI 2309 North Triphammer Rd,open,2309 North Triphammer Rd,Ithaca,,New York,NY,14850,US,42.4832,-76.4823,America/New_York,,,,36,36109,36109001500,361090015001020,27060,296,ceo,census
fc39,,https://www.aldi.us/stores/l/ca/lompoc/729-north-h-street/fc39,ALDI 729 North H Street,open,729 North H Street,Lompoc,,California,CA,93436,US,34.6486,-120.4585,America/Los_Angeles,,,,06,06083,06083002705,060830027052010,42200,,ceo,census
f992,,https://www.aldi.us/stores/l/mi/ludington/4833-w-us-10/f992,ALDI 4833 W. US-10,open,4833 W. US-10,Ludington,,Michigan,MI,49431,US,43.955,-86.3993,America/Detroit,,,,26,26105,26105950600,261059506003009,31220,,ceo,census
f993,,https://www.aldi.us/stores/l/mi/big-rapids/21481-perry/f993,ALDI 21481 Perry,open,21481 Perry,Big Rapids,,Michigan,MI,49307,US,43.6874,-85.5132,America/Detroit,,,,26,26107,26107960702,261079607022018,13660,266,ceo,census
f552,,https://www.aldi.us/stores/l/oh/dayton/2619-miamisburg-centerville/f552,ALDI 2619 Miamisburg Centerville,open,2619 Miamisburg Centerville,Dayton,,Ohio,OH,45459,US,39.637,-84.2176,America/New_York,,,,39,39113,39113050104,391130501041021,19430,212,ceo,census
l416,,https://www.aldi.us/stores/l/md/abingdon/3430-emmorton-rd/l416,ALDI 3430 Emmorton Rd,open,3430 Emmorton Rd,Abingdon,,Maryland,MD,21009,US,39.4675,-76.311,America/New_York,,,,24,24025,24025301205,240253012051001,12580,548,ceo,census
f996,,https://www.aldi.us/stores/l/mi/petoskey/2130-anderson-rd/f996,ALDI 2130 Anderson Rd,open,2130 Anderson Rd,Petoskey,,Michigan,MI,49770,US,45.3474,-84.9715,America/Detroit,,,,26,26047,26047970800,260479708004001,37950,,ceo,census
f995,,https://www.aldi.us/stores/l/mi/traverse-city/3123-w-south-airport/f995,ALDI 3123 W. South Airport,open,3123 W. South Airport,Traverse City,,Michigan,MI,49684,US,44.7228,-85.6356,America/Detroit,,,,26,26055,26055551302,260555513022011,45900,,ceo,census
fe18,,https://www.aldi.us/stores/l/la/laplace/1910-w-airline-hwy/fe18,ALDI 1910 W Airline Hwy,open,1910 W Airline Hwy,Laplace,,Louisiana,LA,70068,US,30.0742,-90.505,America/Chicago,,,,22,22095,22095070500,220950705003010,35380,406,ceo,census
f994,,https://www.aldi.us/stores/l/mi/cadillac/9051-e-34-rd/f994,ALDI 9051 E. 34 Rd,open,9051 E. 34 Rd,Cadillac,,Michigan,MI,49601,US,44.2821,-85.3962,America/Detroit,,,,26,26165,26165380500,261653805002006,15620,,ceo,census
l578,,https://www.aldi.us/stores/l/ny/rotterdam/3075-broadway/l578,ALDI 3075 Broadway,open,3075 Broadway,Rotterdam,,New York,NY,12306,US,42.7908,-73.9798,America/New_York,,,,36,36093,36093032700,360930327003019,10580,104,ceo,census
f997,,https://www.aldi.us/stores/l/mi/grand-rapids/2120-28th-street-se/f997,ALDI 2120 28th Street S.E.,open,2120 28th Street S.E.,Grand Rapids,,Michigan,MI,49508,US,42.9122,-85.6146,America/Detroit,,,,26,26081,26081004501,260810045011003,24340,266,ceo,census
f999,,https://www.aldi.us/stores/l/mi/lansing/5625-w-saginaw-hwy/f999,ALDI 5625 W Saginaw Hwy,open,5625 W Saginaw Hwy,Lansing,,Michigan,MI,48917,US,42.7391,-84.6301,America/Detroit,,,,26,26045,26045020102,260450201021001,29620,330,ceo,census
fo11,,https://www.aldi.us/stores/l/fl/west-melbourne/1539-west-new-haven-avenue/fo11,ALDI 1539 W. New Haven Ave,open,1539 West New Haven Avenue,West Melbourne,,Florida,FL,32904,US,28.0772,-80.647,America/New_York,,,,12,12009,12009065022,120090650222019,37340,,ceo,census
l780,,https://www.aldi.us/stores/l/fl/clearwater/2150-gulf-to-bay-boulevard/l780,ALDI 2150 Gulf to Bay Boulevard,open,2150 Gulf to Bay Boulevard,Clearwater,,Florida,FL,33765,US,27.9617,-82.7478,America/New_York,,,,12,12103,12103026703,121030267034016,45300,,ceo,census
l001,,https://www.aldi.us/stores/l/mi/okemos/5165-marsh-rd/l001,ALDI 5165 Marsh Rd,open,5165 Marsh Rd,Okemos,,Michigan,MI,48864,US,42.7305,-84.4128,America/Detroit,,,,26,26065,26065004903,260650049031014,29620,330,ceo,census
f549,,https://www.aldi.us/stores/l/oh/columbus/5455-n-high-street/f549,ALDI 5455 N. High Street,open,5455 N. High Street,Columbus,,Ohio,OH,43214,US,40.0742,-83.0216,America/New_York,,,,39,39049,39049006821,390490068211000,18140,198,ceo,fcc
fc38,,https://www.aldi.us/stores/l/ca/tustin/1091-irvine-blvd/fc38,ALDI 1091 Irvine Blvd,open,1091 Irvine Blvd,Tustin,,California,CA,92780,US,33.7493,-117.809,America/Los_Angeles,,,,06,06059,06059075506,060590755062000,31080,348,ceo,census
l002,,https://www.aldi.us/stores/l/mi/lansing/6555-pennsylvania-ave/l002,ALDI 6555 Pennsylvania Ave,open,6555 Pennsylvania Ave,Lansing,,Michigan,MI,48911,US,42.6621,-84.5378,America/Detroit,,,,26,26065,26065005304,260650053041009,29620,330,ceo,census
l005,,https://www.aldi.us/stores/l/mi/battle-creek/870-west-columbia/l005,ALDI 870 West Columbia,open,870 West Columbia,Battle Creek,,Michigan,MI,49015,US,42.2987,-85.2154,America/Detroit,,,,26,26025,26025001600,260250016001007,12980,310,ceo,census
